Nº,Nombre legal,Nombre comercial,Nombre abreviado,Código fiscal,Tipo,Idioma,Estado,Razón de cambio,Fecha de fundación,Registro (número),Registro (ciudad),Objeto social,Observaciones,Categoría,Grupo Empresarial,Empresa padre,Productos,Servicios,Marcas,Certificaciones,Blog,Linkedin,Facebook,Twitter,Skype,Web,Número de impuestos,Saludo,País,Región,Provincia,Código postal,Localidad,Localidad (extensión),Dirección,Ap. Postal (número),Ap. Postal (código postal),Ap. Postal (ciudad),E-Mail 1,E-Mail 2,Teléfono 1,Teléfono 2,Móvil 1,Móvil 2,Fax 1,Fax 2,Código industrial,Código industrial,Rangos de empleados,Empleados 2018,Empleados 2017,Empleados 2016,Empleados 2015,Empleados 2014,Rango de facturación,Facturación 2018,Facturación 2017,Facturación 2016,Facturación 2015,Facturación 2014,Subsidiarias,Socio,Socio (Nr.),Membresía (Tipo),Membresía (Cargo),Cuota (Precio),Moneda de pago,Observaciones,Fecha de inicio,Fecha de fin,Razón de finalización,Factura (número),Factura (fecha),Factura (producto),Factura (valor),Pago (fecha),Pago (estado),Ejecutivo de Cuenta:,Origen del capital,Tamaño de empresa,+,-,+,-,+,-,+,-,+,-,Notas:,Observaciones,Administrador,Contacto principal,Contacto clave,Dirección General,Operaciones,Investigación,Administración,Marketing,RRHH,Finanzas,Ventas,Jurídica,Logística,Producción,Comunicación,Soporte al Cliente,IT
348,"Plantaciones Santa Clara, S.A","PLANTACIONES SANTA CLARA, S.A.","PLANTACIONES SANTA CLARA, S.A.",1449,Empresa,ES,1,,01/01/2010,,,,,Agro-industria,,,tomate,,Agricultural Products/Agrochemicals/Machinery,,,,,,,,6821675-0,,GT,,,,Guatemala,Guatemala,"Calzada Aguilar Batres 45-54 Zona 11. Of. 304 Empresariales Monte María, Ciudad, Guatemala.",,,,itracsa@itracsa.com,,23200555,,,,,,,,de 101 a 250,120,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,31/03/2016,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Petrolatin S.A,PLG,"PETROLATIN, S.A.",731,Empresa,ES,1,,01/01/1800,,,,,Comercio,,,importación y distribución de combustibles,,Petroleum Products,,,,,,,,1690169-K,,GT,,,,Guatemala,Guatemala,"14 Calle 3-51 Zona 10, Edificio Murano Center, Oficina 703 Nivel 7, Ciudad, Guatemala.",,,,,,23137600,,,,,,,,de 26 a 100,36,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,14/09/2005,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Grande,"País:El Salvador |
Ciudad: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Industria Comercializadora Kairos Jireh,POLITECH / MECATECH,POLITECH,1427,Empresa,ES,1,,03/01/2012,,,,,Agro-industria,,,"poliducto, flexitubo, herramientas de construcción, accesorios de construcción",,Bakery,,,,,,,https://www.industriakairosjireh.com,7474552-2,,GT,,,,Sacatepéquez,,"1a. Avenida, 6a. Calle Final Lote 5, San Lucas Sacatepéquez",,,,gerencia@industriakairosjireh.com,,47064525,40560640,,,,,,,,60,,,,,"USD$101,000 - 1,200,000",,,,,,,1,,Empresarial,,,GTQ,,30/10/2015,,,,,,,,,"Requena, Annemarie",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,"Agropecuaria Popoyan, S.A",POPOYAN,POPOYAN,1445,Empresa,ES,1,,11/11/1985,,,,,Agro-industria,,,"piñas, papayas, tomates, chiles de colores y pepinos",,Agricultural Products/Agrochemicals/Machinery,,,,https://www.facebook.com/popoyanGT/?ref=br_rs&hc_ref=ARRHdRwAYvP5juWLiF3ElLEH9URJj4vIOjHKZbCE0UXPUlMDgDe9WBLdPBhCLINWxnY&fref=nf,,,,142564-1,,GT,,,,Guatemala,Guatemala,"11 Avenida 37-80 zona 11 Colonia las Charchas, Ciudad, Guatemala",,,,info@popoyan.com,,23273333,,,,,,,,de 251 a 500,500,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,"Formulario sin fecha, pero según correos fue aprobado el 09/02/2016.",09/02/2016,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,,"País:United States |
Ciudad: ","País:El Salvador |
Ciudad: ","País:Mexico |
Ciudad: ","País:Honduras |
Ciudad: ","País:Canada |
Ciudad: ","País:Nicaragua |
Ciudad: ","País:Israel |
Ciudad: ","País:Costa Rica|
Ciudad: ","País:Netherlands |
Ciudad: ",,,,,,,,,,,,,,,,,,,
352,"Port to Port, Guatemala, S.A.","PORT TO PORT GUATEMALA, S.A.","PORT TO PORT GUATEMALA, S.A.",1418,Empresa,ES,1,,02/06/2008,,,,,Servicios,,,,Shipping cars and heacy equipments to Central America.,Customs/ Logistics/Multimodal Transport,,,https://www.linkedin.com/company/830566/,https://www.facebook.com/porttoportinternational/?fref=ts,,,https://www.ptpshipping.com,5731962-6,,US,,,,Guatemala,Guatemala,"3a. Avenida 13-78 Zona 10, Torre Citibank, Nivel 8, Ciudad, Guatemala",,,,mcastanaza@ptpshipping.com,,23842370,,,,,,,,,55,,,,,"Más de USD$5,000,001",,,,,,,1,,Empresarial,,,GTQ,,29/10/2015,,,,,,,,,"Ramírez,Mariana",Multinacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,"Hoteles, S.A",PORTA HOTEL ANTIGUA,PORTA HOTEL ANTIGUA,847,Empresa,ES,1,,24/01/1948,,,,,Servicios,,,"restaurant , spa, lodging and events",,Hotel & Convention Services,,,PortaHotels,facebook.com/portahotels,,,https://www.portahotels.com,32208-3,,GT,,,,Sacatepequez,Antigua,"8a. Calle Poniente No. 1 La Antigua Guatemala, Guatemala",,,,info@portahotels.com,,79310600,22440600,,,,,,,de 101 a 250,185,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,24/11/2006,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,"Productos Alimenticios Centroamericanos, S.A",PRALCASA,PRODUCTOS B&B,1509,Empresa,ES,1,,01/05/1958,,,,,Industria,,,,,Food Products Manufactureres and Distributors,,,,https://www.facebook.com/2BBueno/,@bybguatemala,,https://www.byb.com.gt,498174-k,,GT,,,,Guatemala,Guatemala,Km. 14.5 Carretera a San Miguel Petapa Zona 8 Granjas Gerona,,,,contabilidad@productosbyb.com,,66437171,66437100,,,,,,,de 501 a 1000,550,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,04/05/2017,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,"Prensa Libre, S.A",PRENSA LIBRE,PRENSA LIBRE,398,Empresa,ES,1,,20/08/1951,,,,,Servicios,,,,newspaper,Newspapers,,,,https://www.facebook.com/prensalibregt/,@prensa_libre,,https://www.prensalibre.com,73384-9,,GT,,,,Guatemala,Guatemala,"13 Calle 9-31 Zona 1, Ciudad Guatemala",,,,,,24125000,,,,,,,,de 251 a 500,320,,,,,,,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,02/06/2000,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,"Asesores Quintana, S.A",PRESELECCIÓN EMPRESARIAL GUATEMALA,PRESELECCIÓN EMPRESARIAL GUATEMALA,997,Empresa,ES,1,,26/09/1996,,,,,Servicios,,PRESELECCIÓN EMPRESARIAL GUATEMALA,,,Consultants/Training,,,,https://www.facebook.com/preselecciongt/,,,https://www.preseleccionguatemala.com,811587-7,,GT,,,,Guatemala,Guatemala,"6a. Calle 6-38, Zona 9, Edif. Tivoli Plaza, Of. 601, Ciudad, Guatemala",,,,recepcion@preseleccionguatemala.com,,23315591,23620173,,,,,,,de 1 a 25,15,,,,,"USD$101,000 - 1,200,000",0,,,,,"Asesores Quintana, S.A; ",1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,03/07/2009,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,"Pricesmart (Guatemala), S.A",PRICESMART,PRICESMART,324,Empresa,ES,1,,01/01/1800,,,,,Comercio,,,acceso a compra de productos importados y nacionales al detalle o al por mayor a través de membresía,,Membership Warehouse Club,,,PriceSmart Inc,https://www.facebook.com/pricesmartgt/,PriceSmartGT,,https://www.pricesmart.com,1494045-0,,GT,,,,Guatemala,Guatemala,"21 Avenida 7-90 Zona 11, Miraflores Ciudad, Guatemala",,,,servicioalsocioguatemala@pricesmart.com,,23015000,23013000,,,,,,,,0,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,03/11/2005,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Grande,"País:El Salvador |
Ciudad: ","País:Guatemala |
Ciudad: ","País:Colombia |
Ciudad: ","País:Colombia |
Ciudad: ",,,,"País:Nicaragua |
Ciudad: ",,"País:Costa Rica|
Ciudad: ",,,,,,,,,,,,,,,,,,,
358,PWC Guatemala y Compañia Limitada,"PRICEWATERHOUSECOOPERS, S.A GUATEMALA","PRICEWATERHOUSECOOPERS, S.A GUATEMALA",97,Empresa,ES,1,,17/08/1972,,,,,Servicios,,,,advice and consulting.,Auditing & Consulting Firm,,,,https://www.facebook.com/PwC,,,https://www.pwc.com,41844-7,,GT,,,,Guatemala,Guatemala,"6a. Calle 6-38 Zona 9, Edificio Tivoli Plaza 4to. Nivel, Ciudad, Guatemala",,,,zullie.mayorga@gt.pwc.com,,24207800,,,,,,,,de 26 a 100,100,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,01/12/2004,01/01/1800,,,,,,,,"Requena, Annemarie",Multinacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,"Procesadora de Alimentos Kris, S.A.","PROCESADORA ALIMENTICIA  KRIS, S.A. (PRAKSA)","PROCESADORA DE ALIMENTOS KRIS, S.A.",949,Empresa,ES,1,,01/10/1992,,,,,Industria,,,"refresco en polvo, consomé de pollo, conosmé de res, especies, sazonadores en polvo.",,Food Products Manufactureres and Distributors,,,,,,,https://www.alimentoskris.com,590553-2,,GT,,,,Guatemala,Guatemala,"42 Calle 17-18 Zona 8, Ciudad, Guatemala",,,,info@praksaguate.com,,24409022,24405861,,,,,,,,120,,,,,"Más de USD$5,000,001",,,,,,,1,,Empresarial,,,GTQ,,18/08/2008,,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,"Fábrica de Productos Lácteos Parma, S.A","PRODUCTOS LÁCTEOS PARMA, S.A.",PRODUCTOS PARMA,515,Empresa,ES,1,,01/01/1963,,,,,Industria,,,dairy products,,Dairy Products,,,,https://www.facebook.com/Parmagt/,,,http://www.parma.gt/,824470-7,,GT,,,,Guatemala,Guatemala,"19 Calle 10-54 Zona 10, Ciudad, Guatemala",,,,cliente@parma.gt,,23112311,,,,,,,,,150,,,,,"USD$101,000 - 1,200,000",,,,,,,1,,Empresarial,,,GTQ,,25/04/2002,,,,,,,,,"Requena, Annemarie",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,"Compañía Procesadora de Niquel de Izabal, S.A","PRONICO, S.A.","PRONICO, S.A.",1351,Empresa,ES,1,,01/01/1800,,,,,Industria,,,nickel industry,,Minerals Exploration,,,,,,,https://www.pronico.gt,8355700-8,,RU,,,,Guatemala,Guatemala,"Avenida Reforma 9-55 Zona 10, Edif. Reforma 10, Nivel 6 Of. 603, Ciudad, Guatemala.",,,,lmoreira@pronico.gt,,24190200,,,,,,,,más de 1000,1510,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,El producto no tiene precio para el país del cliente,GTQ,,29/07/2014,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Liliana Bosque,PROTOCOLO EMPRESARIAL,PROTOCOLO EMPRESARIAL,663,Empresa,ES,1,,01/05/2000,,,,,Servicios,,,,"training consulting and advisory firms, representations.",Contact Center and BPO (Business Process Outsourci,,,,,,,https://www.protocoloempresarial.biz,4071501-9,,GT,,,,Guatemala,Guatemala,"Residenciales Kanajuyu II Casa 307 Zona 16, Guatemala.",,,,capacitaciones.protocoloempres@gmail.com,,23653921,,,,,,,,de 1 a 25,10,,,,,"Menos de USD$100,000.00",0,,,,,,1,,Individual,,,GTQ,,06/10/2017,01/07/1800,,,,,,,,"Ramírez,Mariana",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,"Qil+4  Abogados, S.A",QIL+4  ABOGADOS,QIL+4  ABOGADOS,810,Empresa,ES,1,,01/02/2015,,,,,Servicios,,,,legal services,Attorney and legal consultants/Law Firm,,,Qil+4 Abogados,,,,https://www.qil4.com,8909417-4,,GT,,,,Guatemala,Guatemala,"Diagonal 6 10-01 Zona 10, Centro Gerencial Las Margaritas Torre II, Nivel 3 Oficina 302 A, Ciudad, G",,,,info@qil4.com,,22771111,,,,,,,,de 26 a 100,60,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,13/07/2006,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Sergio Guillermo Enriquez Garzaro,RADIO RHEMA STEREO,RADIO RHEMA STEREO,1431,Empresa,ES,1,,29/09/1999,,,,,Servicios,,LICEO CRISTIANO ROCA DE AYUDA,radiodifusión de programas de radio,,Marketing Services/Marketing Investigations,,,,https://www.facebook.com/rhemastereo917/,rhemastereo917,,,771998-1,,GT,,,,Guatemala,Guatemala,"14 Avenida 27-68 Zona 5, Ciudad, Guatemala.",,,,socialmedia@grupo-rhema.com,,24940430,24940444,,,,,,,de 1 a 25,20,,,,,,,,,,,,1,,Corporativa,C08,0 GTQ | 0 USD | ,GTQ,,14/11/2015,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,"Rayovac Guatemala, S.A","RAYOVAC GUATEMALA, S.A.","RAYOVAC GUATEMALA, S.A.",130,Empresa,ES,1,,15/02/1961,,,,,Industria,,,pilas de zinc carbon,,Batteries & Rectifiers,,,,https://www.facebook.com/RayovacLatino/,,,https://www.la.rayovac.com/,33196-1,,US,,,,Guatemala,Guatemala,"28 Calle B, Lote 2 Finca San Rafael Jocotales zona 6, Guatemala",,,,patricia.dominguez@la.spectrumbrands.com,,2222-7200,,,,,,,,de 101 a 250,134,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,01/12/2004,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Maxi Prenda Guatemala,REALICE EMPEÑOS,REALICE EMPEÑOS,986,Empresa,ES,1,,10/03/2008,,,,,Servicios,,,,pawnshop services.,Financial Services,,,,,,,,5858118-9,,MX,,,,Guatemala,Guatemala,"Boulevard Liberación 15-86 Zona 13, Edificio Obelisco oficina 205, Ciudad, Guatemala",,,,norma.batres@firstcash.com,,24193000,,,,,,,,de 101 a 250,190,,,,,,,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,16/04/2009,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,"Recaudadora Guatemalteca, S.A",RECAGUA,RECAGUA,1483,Empresa,ES,1,,21/06/2016,,,,,Servicios,,,,collection management services,Contact Center and BPO (Business Process Outsourcing),,,,,,,,5292769-5,,GT,,,,Guatemala,Guatemala,"7a. Avenida 1-20 Zona 4, Edificio Torre Café, Ciudad, Guatemala.",,,,info@recagua.com,,23832600,,,,,,,,de 101 a 250,0,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,24/10/2016,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,"País:El Salvador |
Ciudad: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Redsoft S.A,REDSOFT,REDSOFT,1524,Empresa,ES,1,,11/06/2014,,,,,Servicios,,,,,Sortware/Hardware Manufacturers/Distributors,,,,https://www.facebook.com/DATUMREDSOFT/,,,https://www.datumredsoft.com,86408054,,GT,,,,Guatemala,Guatemala,"Torre Citibank 3ra. Avenida 13-78 Zona 10, 8° Nivel, Ciudad, Guatemala.",,,,info@datumredsoft.com,,23750580,,,,,,,,,3,,,,,"Más de USD$5,000,001",,,,,,,1,,Empresarial,,,GTQ,,26/09/2017,,,,,,,,,"Ramírez,Mariana",Multinacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,"Relaciones Industriales, S.A","RELACIONES INDUSTRIALES, S.A.","RELACIONES INDUSTRIALES, S.A.",244,Empresa,ES,1,,01/09/1975,,,,,Comercio,,,maquinaria industrial para codificacion de productos,,Foreign Companies Representatives,,,,,,,http://www.relinsa.net/,684816-8,,GT,,,,Guatemala,Guatemala,"1a Avenida 1-07 Zona 2  El Sauce, Ciudad Guatemala",,,,relinsa@relinsa.net,,25055300,,,,,,,,de 1 a 25,20,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,15/03/2000,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,"Renta Autos de Guatemala, S.A",RENTA AUTOS DE GUATEMALA,RENTA AUTOS DE GUATEMALA,1482,Empresa,ES,1,,14/08/1992,,,,,Servicios,,,,Car Rental Services,Car Rental Services,,,,https://www.facebook.com/rentacargt,@rentacar_gt,,https://www.guatemalarentacar.com,631255-1,,GT,,,,Guatemala,Guatemala,"Av. Petapa 22-29 Zona 12, Centro Comercial Del Sur Local 2, Ciudad, Guatemala.",,,,info@guatemalarentacar.com,,23299000,22089000,,,,,,,,97,,,,,"USD$1,201,000 - 5,000,000",,,,,,,1,,Empresarial,,,GTQ,,07/10/2016,,,,,,,,,"Requena, Annemarie",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,"Restaurantes y Servicios, S.A",GRUPO GALA / LOS CEBOLLINES,GRUPO GALA / LOS CEBOLLINES,832,Empresa,ES,1,,22/04/1983,,,,,Servicios,,,food.,,Food Products Manufactureres and Distributors,,,,https://www.facebook.com/CebollinesGT/,,,https://www.cebollines.com,388231-4,,GT,,,,Guatemala,Mixco,"12 Avenida 0-69 Zona 2, Colonia Alvarado, Mixco, Guatemala.",,,,info@cebollines.com,,24217900,22060800,,,,,,,,1300,,,,,"Más de USD$5,000,001",,,,,,,1,,Empresarial,,,GTQ,,18/10/2006,,,,,,,,,"Requena, Annemarie",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,"Industrias Rick´s, S.A","RICK´S, S.A.","RICK´S, S.A.",510,Empresa,ES,1,,01/05/1981,,,,,Industria,,,snack's dulces y salados,,Food Products Manufactureres and Distributors,,,Byron Alquijay,https://www.facebook.com/SnackRicks/,@SnacksRicks,,https://www.snacksricks.com,2032729-3,,GT,,,,Guatemala,Mixco,"Calzada Mateo Flores 14-32, Zona 3, Cotió, Mixco, Guatemala",,,,info1@snacksricks.com,,24375000,,,,,,,,de 26 a 100,50,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Individual,C07,0 GTQ | 0 USD | ,GTQ,,15/04/2002,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,"País:Honduras |
Ciudad: ","País:United States |
Ciudad: ","País:Honduras |
Ciudad: ","País:Mexico |
Ciudad: ","País:Nicaragua |
Ciudad: ","País:Spain|
Ciudad: ","País:Panama |
Ciudad: ",,"País:Dominican Republic |
Ciudad: ",,,,,,,,,,,,,,,,,,,,
373,"Ricoh de Guatemala, S.A (antes: Lanier)",RICOH,,220,Empresa,ES,1,,01/01/1800,,,,,Comercio,,,,photocopiers,Office Equipment & Furniture,,,,https://www.facebook.com/ricohguatemala/,,,https://www.ricoh-latinamerica.com,492534-3,,JP,,,,Guatemala,Guatemala,"Avenida Las Américas 24-04, Zona 13 Ciudad, Guatemala",,,,info@ricoh-latinamerica.com,,23152000,,,,,,,,,0,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,El producto no tiene precio para el país del cliente,GTQ,"Hola Marie André, podrías por favor de de alta como reingreso al cliente RICOH DE GUATEMALA, S.A. con el código 0220.

Gracias!",14/06/2019,01/01/1800,,,,,,,,"Requena, Annemarie",Multinacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,"Organización Rimet, S.A",RIMET,"ORGANIZACIÓN RIMET, S.A.",525,Empresa,ES,1,,01/01/1800,,,,,Comercio,,,calzado y ropa deportiva,,Shoe Manufacturers/Distributors,,,,,,,,2893341-9,,GT,,,,Guatemala,Guatemala,"9a. Calle 47-28, Zona 7 Colonia El Rosario Ciudad, Guatemala",,,,info@rimet.com.gt,,23031900,,,,,,,,de 251 a 500,366,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,06/05/2002,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Research Triangle Institute,RTI INTERNATIONAL,RTI INTERNATIONAL,1498,Empresa,ES,1,,01/01/1800,,,,,Servicios,,,,scientific research and development,Non Profit Associationes and Foundations,,,,,,,https://www.rti.org,C/F,,GT,,,,Guatemala,Guatemala,"13 Calle 3-40, Zona 10 Edificio Atlantis, oficina 509, Ciudad, Guatemala",,,,info@rti.com,,22961145,,,,,,,,,0,,,,,,,,,,,,1,,Empresarial,,,GTQ,,16/02/2017,,,,,,,,,"Ramírez,Mariana",sin definir,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,"Samboro, S.A.",SAMBORO,SAMBORO,348,Empresa,ES,1,,21/03/1989,,,,,Industria,,,industria ceramica,,Ceramic Industry,,,,https://www.facebook.com/SamboroGuatemala/,,,https://www.samboro.com,544251-6,,GT,,,,Guatemala,Guatemala,"10a. Avenida 0-19 Zona 7, Ciudad, Guatemala",,,,info@samboro.com,,23621864,22026900,,,,,,,,457,,,,,"Más de USD$5,000,001",,,,,,,1,,Empresarial,,,GTQ,,28/02/2000,,,,,,,,,"Ramírez,Mariana",Nacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,"Samsung Electronics Latinoamerica (Zona Libre), S.A",SAMSUNG ELECTRONICS LATINOAMERICA (ZONA LIBRE),SAMSUNG ELECTRONICS LATINOAMERICA (ZONA LIBRE),1368,Empresa,ES,1,,06/09/2007,,,,,Servicios,,,,"it & mobile communications (mobiles, tablets, camaras, pc); digital appliance, audio & video.",Telecommunication Services,,,,https://www.facebook.com/SamsungMobile/,SamsungLifeCA,,https://www.samsung.com/latin,6021755-3,,PA,,,,Guatemala,Guatemala,"5a Avenida 5-55 zona 14, Torre II Nivel 14, Oficina 1401, Edificio Europlaza World Business Center,",,,,guatemala.hr@samsung.com,,23026400,,,,,,,,de 26 a 100,61,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C03,El producto no tiene precio para el país del cliente,GTQ,,10/11/2014,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,"La Panería, S.A",SAN MARTÍN,SAN MARTÍN,1364,Empresa,ES,1,,15/01/1800,,,,,Comercio,,,bakery and cakes,,Bakery,,,,https://www.facebook.com/sanmartingt/,,,https://www.sanmartinbakery.com,2815510-6,,GT,,,,Guatemala,Guatemala,"50 Calle 23-70, Zona 12 Guatemala",,,,nadialuna@sanmartinbakery.com,,24209999,,,,,,,,más de 1000,1600,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,24/10/2014,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,"Sanofi-Aventis de Guatemala, S.A",SANOFI,SANOFI,565,Empresa,ES,1,,01/08/1964,,,,,Industria,,,productos farmacéuticos,,Pharmaceutical Products,,,,,,,https://www.sanofi.com.gt,2375365-K,,FR,,,,Guatemala,Mixco,"Km 15.5 Carretera Roosevelt, Zona 7,  Mixco, Guatemala",,,,,,24368000,24291000,,,,,,,de 26 a 100,100,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Empresarial,C03,El producto no tiene precio para el país del cliente,GTQ,,25/11/2004,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Mediana,,"País:Panama |
Ciudad: ",,"País:Colombia |
Ciudad: ",,"País:United States |
Ciudad: ",,,,,,,,,,,,,,,,,,,,,,,
380,Saravia y Muñoz,SARAVIA Y MUÑOZ,SARAVIA Y MUÑOZ,786,Empresa,ES,1,,01/01/1953,,,,,Servicios,,SARAVIA Y MUÑOZ,,attorney and legal consultants / law firm.,Attorney and legal consultants/Law Firm,,,Salvador Saravia M.,,,,https://www.saraviamunoz.com,86741-1,,GT,,,,Guatemala,Guatemala,"14 Calle 4-32, Zona 10, Edificio S y M, Nivel No. 4, Ciudad, Guatemala",,,,info@saraviamunoz.com,,23370057,,,,,,,,,0,,,,,,,,,,,Saravia y Muñoz; ,1,,Empresarial,,,GTQ,,03/07/2006,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Remarsa,SEABOARD MARINE,SEABOARD MARINE,350,Empresa,ES,1,,01/08/1983,,,,,Servicios,,SEABOARD MARINE,,transporte marítimo,Customs/ Logistics/Multimodal Transport,,,,https://www.facebook.com/seaboardmarine,,,https://www.seaboardmarine.com,3474857-1,,US,,,,Guatemala,Guatemala,"Avenida Reforma 8-60 Zona 9,  Edif. Galerías Reforma, 4o. Nivel Of. 411, Ciudad, Guatemala",,,,waleska.ramos@seaboardmarine.com.gt,,23843900,,,,,,,,de 101 a 250,120,,,,,,,,,,,Remarsa; ,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,12/01/2004,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,"Sealed Air Central America, S.A","SEALED AIR CENTRAL AMERICA, S.A.","SEALED AIR CENTRAL AMERICA, S.A.",740,Empresa,ES,1,,01/01/1800,,,,,Industria,,,,,Packing Services,,,,https://www.facebook.com/SealedAirCorp/,,,https://www.sealedair.com,523017-9,,US,,,,Guatemala,Guatemala,"Avenida Hicapié 16-55 Zona 13, Ciudad Guatemala",,,,,,22267300,,,,,,,,de 26 a 100,33,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,El producto no tiene precio para el país del cliente,GTQ,,26/09/2005,01/01/1800,,,,,,,,"Requena, Annemarie",Multinacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
